Loan Sanction Amount (USD),Gender,Age,Income (USD),Income Stability,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Co-Applicant
159257.38,F,30,2500.67,Low,Semi-Urban,227510.54,587.7,NA,748.82,0,Inactive,1
19006.46,F,62,3633.07,Low,Rural,27152.08,124.89,4,810.31,0,Unpossessed,1
45872.94,F,22,2730.64,NA,Semi-Urban,70573.75,550.98,3,671.87,1,Inactive,1
33045.22,M,60,3431.97,Low,Semi-Urban,50838.8,286.86,2,668.28,0,Active,1
63339.66,F,61,4021.25,High,Urban,79174.58,515.01,2,785.57,0,Inactive,0
44325.99,F,35,2012.94,Low,Semi-Urban,63322.84,334.21,1,716.47,0,Active,1
24903.35,M,47,1957.33,NA,Rural,38312.85,169.58,2,720.02,0,Active,1
73078.31,F,51,3256.4,Low,Semi-Urban,104397.58,435.86,2,817.08,0,Active,1
27814.81,F,50,1728.9,Low,Semi-Urban,39735.45,207.49,1,872.41,0,Unpossessed,1
78241.06,F,65,1780.36,High,Semi-Urban,97801.32,293.88,1,805.58,0,Active,1
22741.65,M,30,NA,Low,Rural,32488.07,197.94,4,660.82,0,Active,1
49727.72,M,18,1974.58,Low,Semi-Urban,71039.6,187.77,3,852.38,0,NA,1
134912.57,M,46,2153.42,Low,Semi-Urban,192732.24,974.62,2,862.75,0,Active,1
79366.08,F,20,2204.61,Low,Semi-Urban,88184.53,423.46,2,850.18,0,Active,0
93391.69,F,61,3853.63,Low,Semi-Urban,116739.61,482.01,2,777.25,1,Active,1
71901.97,M,48,2161.07,Low,Semi-Urban,102717.1,551.12,3,NA,0,Active,1
30841,F,53,1014.15,NA,Semi-Urban,44058.57,201.04,NA,676.35,0,Inactive,1
148913.98,F,41,NA,Low,Semi-Urban,186142.48,611.65,3,787.24,0,Inactive,1
22585.71,M,28,1759.58,Low,Semi-Urban,34747.25,157.87,2,689.81,0,Unpossessed,1
106086.37,F,63,2669.76,Low,Rural,132607.96,602.77,2,752.44,0,Active,1
30999.77,F,33,2142.86,Low,Semi-Urban,36470.32,408.97,2,863,0,Unpossessed,0
87776.59,F,18,2258.09,Low,Semi-Urban,135040.91,426.72,4,695.1,0,Inactive,1
49119.98,F,49,1902.4,Low,Semi-Urban,70171.4,421.03,1,692.58,0,Unpossessed,1
127453.49,F,47,6703.48,Low,Rural,182076.42,752.31,3,713.8,0,NA,1
88253.72,F,41,NA,Low,Semi-Urban,126076.75,520.11,1,776.91,0,Inactive,1
82145.03,M,20,2657.3,Low,Semi-Urban,102681.29,304.25,2,775.44,0,Active,1
90927.16,F,37,2363.49,Low,Urban,129895.94,420.78,4,756.96,0,Unpossessed,1
93637.17,M,59,3479.77,Low,Semi-Urban,124849.56,608.57,3,753.43,0,Active,1
28066.34,F,63,1976.12,NA,Semi-Urban,37421.79,199.42,2,754.84,0,Active,1
27033.94,M,46,4396.14,Low,Semi-Urban,33792.42,348.77,7,860.58,0,Inactive,1
8361.21,F,51,1016.84,Low,Semi-Urban,10451.51,88.43,3,794,0,Unpossessed,1
82719.4,M,58,6537.28,Low,Semi-Urban,110292.53,562.51,2,832.91,0,Inactive,1
80245.58,F,62,2115.66,High,Semi-Urban,106994.11,287.14,2,866.72,0,Active,1
91198.17,F,64,2836.98,Low,Semi-Urban,130283.1,731.43,2,670.49,0,Unpossessed,1
27668.2,F,65,1308.92,High,Semi-Urban,36890.93,223.47,2,818.98,0,Inactive,1
21977.11,M,27,1771.61,Low,Semi-Urban,27471.39,137.09,1,763.74,0,Inactive,1
69840.37,F,62,1979.41,Low,Rural,93120.49,321.36,2,816.24,0,Active,1
32806.93,F,18,2950.95,Low,Rural,50472.2,241.5,2,672.61,0,Unpossessed,1
74494.31,F,63,1709.1,Low,Semi-Urban,106420.44,521.97,NA,701.9,1,Active,1
57814.65,F,37,1995.77,Low,Semi-Urban,82592.36,389.63,2,696.88,0,Inactive,1
42474.26,M,63,3541.56,Low,Semi-Urban,60677.51,319.33,3,753.14,0,Active,1
45090.12,M,24,2190.69,Low,Semi-Urban,64414.46,260.82,2,732.88,1,Inactive,1
69156.67,M,61,1820.82,Low,Semi-Urban,98795.25,411.21,3,NA,0,Active,1
28737.58,F,61,1679.46,High,Semi-Urban,35921.98,371.44,2,767.32,0,Unpossessed,1
133453.84,F,20,3772.21,Low,Rural,166817.3,633.74,1,787.04,0,Unpossessed,1
98544.5,M,43,2215.92,Low,Semi-Urban,151606.93,484.35,2,665.17,0,Unpossessed,1
48962.35,M,54,2842.11,Low,Rural,75326.69,398.62,2,714,1,Unpossessed,1
59774.88,M,29,NA,Low,Rural,85392.68,249.21,2,842.46,0,Inactive,1
24105.72,M,18,1647.58,Low,Rural,37085.72,188.43,1,727.9,0,Active,1
64406.8,F,18,3107.68,Low,Semi-Urban,92009.71,454.48,2,768.45,0,Active,1
50834.66,F,61,2423.73,Low,Semi-Urban,72620.94,401.74,3,747.94,0,Active,1
53449.95,M,49,1904.83,NA,Semi-Urban,71266.6,243.02,2,793.98,0,Active,1
100107.87,F,42,1930.21,Low,Semi-Urban,143011.24,433.85,NA,680.97,0,Unpossessed,1
95697.68,M,18,4458.24,Low,Urban,95697.68,294.38,1,865.59,0,NA,1
44128.39,F,32,3699.59,Low,Rural,63040.56,353.92,2,826.11,0,Unpossessed,1
128845,M,33,4332.7,Low,Semi-Urban,184064.28,591.91,3,866.46,0,Unpossessed,1
48052.15,M,48,1577.66,Low,Semi-Urban,73926.39,242.74,2,722.38,0,Active,1
48390.75,M,55,3695.01,Low,Semi-Urban,64521,261.81,2,790.76,0,Active,1
137196.31,F,50,2504.11,Low,Semi-Urban,171495.39,469.81,3,801.89,0,Unpossessed,1
82788.98,F,45,3132.05,NA,Rural,118269.97,479.93,2,690.45,0,Inactive,1
23411.33,M,58,3307.79,Low,Semi-Urban,33444.76,183.53,1,694.54,0,Active,1
94087.8,M,18,3742.3,Low,Rural,144750.46,714.13,3,708.71,0,Active,1
50577.23,F,23,1515.24,Low,Semi-Urban,77811.12,383.51,1,659.01,0,Inactive,1
51718.77,M,18,1566.5,NA,Semi-Urban,79567.34,357.23,NA,662.3,0,Inactive,1
164641.36,M,38,2518.77,Low,Rural,235201.94,632.35,2,830.41,1,Inactive,1
56761.14,F,52,3229.11,Low,Semi-Urban,81087.35,439.92,1,798.3,0,Inactive,1
177524.59,M,62,3942.45,High,Semi-Urban,236699.45,641.69,2,853.99,0,Unpossessed,1
118350.5,F,58,2043.67,Low,Semi-Urban,182077.69,617.28,4,741.97,0,Active,1
5420.84,F,63,1338.89,Low,Semi-Urban,7227.79,67.86,2,831.52,0,Unpossessed,1
74907.31,F,63,1214.75,NA,Semi-Urban,115242.01,376.71,3,713.37,0,Active,1
47686.7,F,45,1721.01,Low,Semi-Urban,68123.86,709.28,NA,871.72,0,NA,1
59583.44,M,63,1396.84,High,Semi-Urban,79444.59,524.57,2,852.38,0,Unpossessed,0
66286.5,F,24,1753.8,Low,Semi-Urban,88382,243.01,1,794.71,0,Active,1
37396.37,M,45,2480.23,Low,Urban,53423.39,173.75,3,NA,0,Unpossessed,1
193149.44,F,18,3948.27,Low,Urban,257532.59,665.26,3,866.47,0,Active,1
40467.14,F,41,3243.59,NA,Urban,62257.14,334.17,NA,737.72,0,Unpossessed,1
78145.34,F,19,1286.92,Low,Semi-Urban,97681.67,392.73,2,807.54,0,Inactive,1
26266.34,F,52,NA,Low,Urban,40409.76,343.25,3,687.71,0,Active,1
167299.73,M,51,3420.35,Low,Semi-Urban,238999.62,573.23,4,691.12,1,NA,1
81494.99,M,49,1826.11,NA,Semi-Urban,116421.41,469.58,NA,801.93,0,Inactive,1
24480.74,M,19,2071.83,Low,Urban,37662.68,477.58,4,679.03,0,Inactive,1
51826.77,F,49,1574.15,Low,Semi-Urban,74038.24,430.93,2,691.26,0,Inactive,1
91960.11,M,23,1973.26,Low,Rural,122613.48,638.59,2,783.13,0,Active,1
96742.87,M,51,NA,Low,Semi-Urban,128990.49,396.45,4,787.67,0,Active,1
18268.85,M,18,1960.19,Low,Semi-Urban,26098.36,299.62,2,838.04,0,Unpossessed,1
66186.29,M,18,1721.72,Low,Semi-Urban,101825.06,562.91,2,736.99,0,Unpossessed,1
183789.4,F,60,1844.07,Low,Semi-Urban,229736.75,570.96,2,804.6,0,Inactive,1
121397.6,F,55,1950.38,Low,Semi-Urban,151747,803.81,4,835.42,0,Inactive,1
58329.65,M,18,3147.59,Low,Semi-Urban,89737.92,328.76,2,688.05,0,Active,1
16617.1,M,38,1725.22,Low,Semi-Urban,25564.77,167.02,4,711.68,1,NA,1
38862.15,M,57,1546.98,Low,Semi-Urban,48577.69,261.75,3,802.45,0,Unpossessed,1
39163.83,M,53,NA,Low,Rural,60252.04,320.2,2,702.68,1,NA,1
41387.41,M,32,1652.55,Low,Semi-Urban,63672.94,309.47,3,668.2,0,Inactive,1
6497.08,M,62,NA,High,Semi-Urban,8121.35,61.22,NA,808.55,1,Inactive,1
31582.29,M,29,1723.75,NA,Rural,48588.14,253.35,3,656.63,0,Unpossessed,1
120269.13,F,57,NA,NA,Semi-Urban,171813.04,711.13,3,738.37,0,Inactive,1
19045.54,F,30,NA,Low,Rural,29300.83,227.97,4,NA,1,Unpossessed,1
53756.27,F,35,2459.57,Low,Rural,71675.03,276.87,2,760.59,0,Unpossessed,1
147490.4,M,45,2307.5,Low,Semi-Urban,196653.87,515.77,2,809.82,0,Active,1
26266.71,M,59,2361.14,Low,Semi-Urban,32833.39,186.88,2,772.13,0,Inactive,1
25525.7,M,62,1555.19,High,Rural,36465.28,177.23,NA,803.77,0,Active,1
41215.84,F,26,1671.17,Low,Semi-Urban,58879.77,428.75,5,715.22,0,Unpossessed,1
64683.04,F,32,2178.92,Low,Semi-Urban,80853.8,425.89,1,834.34,0,Active,1
54195.1,M,65,3013.72,NA,Semi-Urban,72260.13,433.26,NA,777.07,0,Inactive,1
89573.69,F,55,1658.34,Low,Semi-Urban,111967.11,590.3,1,801.88,0,Unpossessed,1
37530.84,M,24,2646.24,Low,Semi-Urban,53615.49,253.28,2,736.3,0,Inactive,1
44799.88,F,21,1958.55,Low,Semi-Urban,68922.9,378.19,1,651.85,0,Unpossessed,1
52240.91,F,58,2458.56,NA,Semi-Urban,74629.87,313.22,4,699.31,0,Unpossessed,1
93433.18,M,62,NA,Low,Semi-Urban,116791.48,343.89,2,804.27,0,Inactive,1
29055.95,F,62,3966.76,Low,Rural,36319.94,242.95,1,784.21,0,Inactive,1
14019.67,M,18,3021.58,Low,Semi-Urban,21568.73,253.05,2,696.28,0,Active,1
46175.38,F,59,2156.46,Low,Urban,61567.17,310.41,2,760.3,0,Active,1
86961.43,F,18,NA,Low,Semi-Urban,115948.57,377.93,2,840.01,0,Active,1
102610.79,M,58,2096.82,Low,Urban,157862.75,493.73,2,660.66,0,Active,1
25609.29,M,60,4575.45,Low,Semi-Urban,36584.7,183.59,NA,694.37,0,Unpossessed,1
63268.46,M,33,1400.26,Low,Urban,79085.58,426.89,1,831.54,0,Active,1
29171.08,F,29,1242.46,Low,Semi-Urban,41672.97,276.91,3,772.15,0,Active,1
10908.79,M,18,1337.57,Low,Semi-Urban,15583.98,166.24,2,736.59,0,NA,1
182580.15,M,18,10998.59,Low,Semi-Urban,280892.54,819.53,3,694.53,0,NA,1
48735.52,M,22,1698.69,Low,Semi-Urban,69622.17,353.59,4,845.46,0,Active,1
33646.48,M,53,NA,Low,Semi-Urban,42058.1,342.79,2,842.54,0,Active,1
50195.67,M,60,3027.42,High,Urban,71708.1,196.84,1,845.31,0,Inactive,1
74071.09,F,19,5588.37,Low,Urban,98761.45,1127.73,4,847.21,0,NA,1
102101.81,F,35,4014.69,Low,Semi-Urban,136135.75,583.58,NA,762.58,0,Inactive,1
24519.79,F,29,2792.03,Low,Urban,30649.74,336.35,3,794.48,0,Unpossessed,1
87580.47,M,48,1662.32,Low,Semi-Urban,109475.59,425.63,1,808.23,0,Unpossessed,1
97745.88,F,58,4188.55,Low,Semi-Urban,150378.27,439.1,2,698.62,0,Active,1
33325.68,M,65,NA,High,Semi-Urban,47608.11,243.34,2,827.84,1,Active,1
86978.38,F,42,2453.28,Low,Semi-Urban,124254.83,353.39,3,850.65,0,Unpossessed,1
62420.48,M,54,3410.7,Low,Semi-Urban,89172.12,241.77,2,674.49,0,NA,1
48558.98,F,46,NA,Low,Semi-Urban,74706.12,733.49,1,707.17,0,Active,1
73725.34,M,61,2259.03,Low,Semi-Urban,105321.91,285.3,4,703.75,0,Inactive,1
84294.46,M,55,1608.78,Low,Semi-Urban,112392.61,447.92,3,756.4,0,Unpossessed,1
93456.35,M,44,966.05,Low,Semi-Urban,116820.44,390.81,3,754.06,0,Active,1
67306.08,F,43,5663.31,Low,Semi-Urban,103547.81,947.78,NA,716.26,1,Unpossessed,1
78624.67,M,56,1939.4,Low,Semi-Urban,112320.96,435.28,4,NA,0,Active,1
30419.32,F,61,4196.38,Low,Semi-Urban,46798.95,415.04,3,748.73,0,Unpossessed,1
50431.3,F,34,3092.62,Low,Rural,72044.71,535.55,3,668.52,0,Inactive,1
14096.24,M,43,2305.15,Low,Semi-Urban,21686.53,214.63,3,668.48,1,Unpossessed,1
38558.88,F,25,NA,Low,Rural,59321.35,487.29,6,712.81,0,Active,1
22187.83,M,52,2086.09,Low,Semi-Urban,34135.13,252.74,1,738.27,0,Unpossessed,1
31700.37,M,18,2419.17,Low,Semi-Urban,45286.25,NA,2,688.76,0,Active,1
14364.65,F,42,1004.25,Low,Rural,19152.87,105.44,2,806.13,0,Active,1
59732.91,M,26,7696.92,Low,Urban,85332.73,748.89,3,676.73,0,Active,1
127671.4,F,42,2889.26,Low,Semi-Urban,159589.25,637.74,2,826.33,0,Active,1
50998.09,M,65,4228.05,High,Semi-Urban,72854.41,776.28,2,763.3,1,Unpossessed,1
72081.96,M,65,2571.04,High,Semi-Urban,110895.32,392.71,2,736.49,1,Inactive,1
87815.54,F,65,1225.85,High,Semi-Urban,117087.39,506.01,2,823.18,0,Active,1
126255.54,M,32,3578.78,Low,Semi-Urban,180365.06,514.02,1,816.93,1,Inactive,1
66345.23,F,23,3635.8,Low,Semi-Urban,88460.31,408.14,4,832.31,1,Inactive,1
109864.66,M,19,7012.65,Low,Semi-Urban,169022.56,783.46,2,666.08,0,Active,1
118840.62,M,18,4627.06,Low,Semi-Urban,158454.16,617.21,3,763.74,1,Active,1
31692.14,F,23,1584.47,Low,Semi-Urban,45274.48,259.22,3,731.18,0,Unpossessed,1
69369.14,F,55,1762.02,Low,Semi-Urban,99098.77,304.96,2,787.25,0,NA,1
79539.05,F,18,4117.56,Low,Semi-Urban,113627.22,587.23,1,652.73,0,Unpossessed,1
38061.93,M,47,1401.72,Low,Rural,54374.19,155.96,1,688.65,0,Unpossessed,1
49638.36,M,54,4265.74,Low,Urban,62047.95,385.5,2,770.8,0,Inactive,1
158243.72,F,45,3522.09,Low,Semi-Urban,175826.35,883.91,1,860.03,0,Active,1
36818.46,M,18,NA,Low,Semi-Urban,46023.08,240.7,2,750.21,0,Unpossessed,1
115052.58,F,43,NA,Low,Rural,164360.83,600.8,4,693.09,1,Active,1
52081.42,F,19,2741.95,Low,Rural,74402.03,426.4,3,704.76,1,Inactive,1
56248.53,F,26,3050.01,Low,Semi-Urban,86536.2,448.36,3,700.12,0,Inactive,1
40987.67,M,65,2778.1,High,Semi-Urban,51234.59,278,2,827.73,0,Inactive,0
80272.31,F,60,4906.99,High,Semi-Urban,100340.39,603.14,2,857.63,0,Inactive,1
136911.22,M,19,1851.17,Low,Semi-Urban,171139.02,488.31,4,771.28,0,Unpossessed,1
47061.2,F,47,1431.05,Low,Rural,72401.85,419.5,3,690.24,0,Unpossessed,1
43067.96,M,63,3488.33,Low,Semi-Urban,66258.4,695.56,2,698.1,0,Inactive,1
4581.22,M,18,695.14,Low,Rural,6544.6,74.6,4,783.87,0,Unpossessed,1
120655.94,M,55,5389.22,Low,Urban,160874.59,702.24,2,811.07,0,Inactive,1
7103.79,M,56,1823.61,Low,Semi-Urban,9471.72,63.38,NA,797.4,0,Unpossessed,1
127495.42,M,58,NA,Low,Semi-Urban,182136.31,764,2,849.45,0,Active,1
48793.49,M,52,1723.22,Low,Semi-Urban,75066.91,501.29,3,NA,0,Active,1
88966.8,F,35,2546.35,Low,Semi-Urban,127095.43,318.94,3,733.39,0,NA,1
28002.28,M,24,NA,Low,Rural,37336.38,248.27,3,763.84,0,Inactive,1
24831.5,M,34,4211.36,Low,Rural,35473.57,179.93,4,716.66,0,Active,1
47052.07,M,65,997.13,High,Rural,67217.24,283.3,2,848.82,0,Inactive,0
226978.38,M,18,4157.65,Low,Urban,283722.97,1075.87,2,841.14,0,NA,1
48759.42,F,41,NA,Low,Rural,69656.32,354.65,1,669.49,0,Inactive,1
12392.68,F,27,2498.67,Low,Semi-Urban,16523.57,96.42,3,768.44,0,Unpossessed,1
92258.08,F,65,1223.47,High,Semi-Urban,141935.5,435.05,2,746.49,0,Inactive,1
41083.94,F,57,2233.95,Low,Urban,58691.34,297.32,2,667.57,0,Unpossessed,1
50285.69,M,63,3249.69,NA,Semi-Urban,71836.7,292.45,3,753.11,0,Unpossessed,1
45708.33,F,18,1824.07,Low,Semi-Urban,70320.51,342.91,NA,656.14,0,Inactive,1
32529.7,NA,62,1875.18,Low,Semi-Urban,46471,229.67,NA,744.88,0,Active,1
28782.74,F,19,1031.97,Low,Semi-Urban,35978.43,173.91,3,810.48,0,Active,1
86958.4,F,18,2217.1,Low,Rural,124226.28,634.1,3,800.04,0,Active,1
196374.79,M,18,9414.65,Low,Rural,280535.42,941.75,2,844.67,0,Active,1
123204.61,M,18,2603.64,Low,Urban,176006.58,1664.01,2,830.81,0,Active,1
194380.06,F,61,NA,High,Rural,259173.41,705.25,2,816.49,0,Unpossessed,0
25692.06,M,18,1319.78,Low,Semi-Urban,36702.95,171.29,1,NA,0,Active,1
12106.65,F,59,NA,Low,Semi-Urban,17295.22,168.05,1,753.35,1,Active,1
61739.48,M,21,3565.8,Low,Urban,82319.3,737.18,3,NA,1,Active,1
119477.79,F,18,3426.56,NA,Semi-Urban,149347.24,482,1,NA,0,Inactive,1
47170.23,F,18,3767.09,Low,Semi-Urban,67386.04,537.76,3,651.24,0,Inactive,1
29136.22,F,62,931.15,High,Semi-Urban,44824.95,400.88,3,712.99,0,Unpossessed,1
62097.12,F,57,1556.6,Low,Semi-Urban,88710.17,450.37,4,781.98,0,NA,1
20226.04,F,47,2116.88,NA,Semi-Urban,31116.99,427.08,NA,658.66,1,Active,1
19782.26,M,61,3573.19,Low,Semi-Urban,26376.35,131.22,NA,761.96,1,Unpossessed,1
56093.07,M,55,4823.26,Low,Semi-Urban,65991.85,532.3,1,860.48,0,Unpossessed,0
89951.47,M,18,NA,NA,Urban,138386.87,365.61,2,684.7,1,Unpossessed,1
37300.28,F,40,1467.57,Low,Semi-Urban,46625.35,492.71,2,800.87,0,Inactive,1
64215.26,M,19,3269.66,Low,Semi-Urban,91736.08,492.19,2,781.53,0,Unpossessed,1
32791.04,M,30,NA,Low,Semi-Urban,43721.39,327.56,2,770.55,0,Active,1
26047.92,M,20,1726.51,Low,Semi-Urban,40073.72,251.04,2,656.51,0,NA,1
20208.46,M,44,1247.76,Low,Semi-Urban,31089.94,142.72,2,723.11,0,Active,1
106334.66,M,37,1266.25,Low,Semi-Urban,132918.32,-999,2,777.27,0,Active,1
126581.68,M,20,1405.96,Low,Semi-Urban,180830.97,546.16,3,654.21,1,Unpossessed,1
26634.32,M,20,2167.85,NA,Semi-Urban,40975.88,284.28,1,658.61,0,Unpossessed,1
12340.46,F,58,591.24,Low,Semi-Urban,18985.33,193.58,2,676.62,1,Unpossessed,1
63487.96,F,54,NA,NA,Semi-Urban,90697.08,466.48,NA,718.73,1,Unpossessed,1
14660.46,F,31,2711.01,Low,Urban,22554.55,121.54,2,655.11,0,Inactive,1
48702.97,F,39,2477.21,Low,Semi-Urban,64937.29,352.66,2,NA,1,Active,-999
122112.23,F,25,1230.49,Low,Semi-Urban,174446.05,529.34,2,797.06,0,Inactive,1
29590.46,M,64,992.09,High,Semi-Urban,36988.08,146.57,2,811.48,0,Inactive,1
93170.59,F,29,2948.97,Low,Semi-Urban,143339.37,608.83,2,710.13,0,NA,1
34752.47,NA,18,2957.06,Low,Semi-Urban,49646.39,197.25,1,675.61,0,Active,1
80373.87,M,28,5616.72,Low,Urban,114819.82,603.17,2,842.2,1,Unpossessed,1
53888.16,F,56,1957.58,Low,Semi-Urban,76983.09,301.13,NA,795.74,0,Inactive,1
37227.09,F,50,NA,Low,Semi-Urban,49636.12,325.48,1,764.24,0,Inactive,1
20686.28,F,47,1109.49,Low,Semi-Urban,29551.83,283.32,4,694.22,0,Active,1
23574.64,M,45,3115.88,Low,Semi-Urban,31432.85,164.47,NA,826.29,1,Active,1
44628.23,M,46,4903.35,Low,Semi-Urban,63754.61,539.23,2,786.44,1,Unpossessed,1
108387.63,M,21,3140.06,Low,Semi-Urban,154839.47,477.07,2,714.43,0,Unpossessed,1
128626.79,M,18,6356.94,NA,Semi-Urban,183752.56,806.33,2,828.47,0,Unpossessed,1
87783.74,F,27,3224.04,Low,Semi-Urban,125405.35,705.21,2,846.4,0,Active,1
46702.91,F,18,2474.69,Low,Rural,71850.63,368.8,NA,743.54,1,Unpossessed,1
25792.84,M,47,2258.17,Low,Semi-Urban,36846.92,212.61,2,828.57,0,Unpossessed,1
61955.67,M,49,3850.93,Low,Semi-Urban,77444.59,513.06,3,803.69,0,Inactive,1
13813.65,M,64,NA,Low,Semi-Urban,19733.78,101.89,2,844.75,0,NA,1
83645.1,M,62,2190.78,High,Semi-Urban,104556.38,470.9,2,803.26,0,Unpossessed,0
20457.59,M,62,NA,Low,Semi-Urban,31473.21,156.84,NA,723.14,0,Inactive,1
93355.9,F,18,2380.84,Low,Semi-Urban,143624.46,409.75,3,745.92,0,Unpossessed,1
16104.33,F,54,1956.48,Low,Semi-Urban,20130.41,97.52,2,790.41,1,Inactive,1
125285.88,M,48,559.17,Low,Semi-Urban,178979.83,566.68,3,704.25,0,Inactive,1
116076.11,F,65,834.44,High,Semi-Urban,165823.01,701.81,2,820.47,0,Unpossessed,1
38035.06,M,35,2230.86,Low,Semi-Urban,58515.48,340.56,NA,689.33,0,Active,1
49066.76,M,59,7449.82,Low,Semi-Urban,61333.45,658.47,2,845.95,0,Inactive,1
131375.31,M,22,3075.15,Low,Semi-Urban,187679.02,645.64,NA,712.11,0,Active,1
69836.45,M,52,2067.48,NA,Semi-Urban,107440.69,319.6,3,714.47,1,Active,1
70391.89,F,38,NA,NA,Semi-Urban,108295.21,581.66,2,662.86,0,Unpossessed,1
115732.87,M,31,4617.78,Low,Rural,154310.49,529.65,2,819.37,0,Active,1
18338.88,F,60,1918.71,High,Semi-Urban,20376.53,178.09,2,876.13,1,NA,0
38039.29,M,46,1916.78,Low,Semi-Urban,47549.11,225.41,2,792.83,0,Active,1
61696.11,F,44,1342.25,Low,Semi-Urban,77120.14,513.23,3,813.81,1,Active,1
79443.55,M,43,6387.11,Low,Semi-Urban,122220.84,866.04,2,727.83,0,Active,1
29248.86,F,23,2239.99,Low,Semi-Urban,38998.48,327.76,2,768.14,0,Unpossessed,1
74743.96,M,41,2248.94,Low,Semi-Urban,114990.7,599.7,2,718.56,0,Active,1
51397.38,M,23,2115.4,Low,Rural,73424.83,280.92,4,700.59,0,Unpossessed,1
81246.84,F,33,2416.94,Low,Rural,116066.91,649.66,4,757.74,0,Inactive,1
32521.48,F,30,1099.64,Low,Rural,50033.05,143.35,2,652.76,0,NA,1
38144.28,M,18,3211.29,Low,Urban,50859.04,181.78,NA,NA,0,Unpossessed,1
107769.63,M,18,2120.44,Low,Semi-Urban,143692.84,443.02,4,NA,0,Inactive,1
23165.51,M,44,2756.92,Low,Semi-Urban,33093.59,334.59,4,713.59,0,Active,1
29207.42,F,65,1831.97,High,Semi-Urban,38943.23,359.9,2,838.85,0,Unpossessed,1
5531.93,F,65,684.96,High,Semi-Urban,6914.91,60.66,2,816.39,0,Inactive,0
79290.42,M,55,1914.34,Low,Semi-Urban,99113.03,352.74,4,822.43,0,Unpossessed,1
9112.61,F,41,1080.31,Low,Semi-Urban,13018.02,151.13,2,726.09,0,Active,1
102211.45,F,65,3132.47,High,Rural,127764.31,NA,1,844.26,1,Active,1
206264.98,NA,21,NA,Low,Urban,257831.23,666.57,NA,861.27,1,NA,1
202182.68,F,26,3040.6,Low,Semi-Urban,252728.35,897.92,2,836.73,0,Unpossessed,1
108173.5,M,18,3808.1,Low,Urban,144231.34,719.59,2,874.4,0,Active,1
32131.82,M,64,1703.18,High,Semi-Urban,40164.78,196.24,NA,818.81,0,Active,0
21517.54,F,48,1389.19,Low,Semi-Urban,26896.93,140.31,4,769.69,0,Active,1
59823.63,M,53,NA,Low,Rural,85462.33,267.05,2,828.76,0,Unpossessed,1
59298.1,M,23,1962.52,Low,Rural,84711.57,314.28,2,763.61,0,Active,1
93394.74,M,30,3810.95,Low,Semi-Urban,116743.42,429.54,2,823.96,0,Active,1
29069.6,F,32,NA,Low,Semi-Urban,38759.47,205.79,NA,825.3,0,Inactive,1
94995.41,M,41,1588.58,Low,Semi-Urban,126660.55,322.33,2,755.05,0,Active,1
50385.22,F,39,2068.8,Low,Urban,55983.58,297.01,4,871.09,0,Inactive,0
12020.28,M,18,2628.03,Low,Semi-Urban,15025.35,149.67,NA,834.1,0,Unpossessed,1
83660.1,F,63,4156.54,Low,Rural,119514.43,576.87,3,777.57,0,Unpossessed,1
86125.74,M,52,1744.93,Low,Rural,114834.32,362.81,3,809.44,1,Inactive,1
57018.93,F,63,4092.96,Low,Semi-Urban,81455.61,411.38,2,772.69,1,Inactive,1
40881.95,F,18,2291.36,Low,Rural,58402.78,198.29,2,731.58,0,Unpossessed,1
81101.93,F,51,3416.98,Low,Semi-Urban,115859.9,514.66,3,NA,0,Active,1
52875.39,F,23,1594.97,Low,Rural,75536.27,405.39,3,689.2,0,Active,1
35273.9,M,62,2418.04,Low,Rural,44092.38,204.35,2,844.25,0,Inactive,1
73124.51,F,61,827.97,NA,Semi-Urban,91405.64,276.67,2,863.75,0,Active,0
8647.78,F,64,709.96,High,Rural,11530.38,104.86,2,845.61,0,Unpossessed,1
53947.48,M,60,2702.26,Low,Semi-Urban,71929.98,203.96,2,851.85,0,Active,1
73226.03,M,41,2382.73,Low,Semi-Urban,97634.71,412.62,2,837.75,0,Inactive,1
78377.77,F,18,4030.91,Low,Urban,104503.69,287.3,1,777.43,0,NA,1
45881.83,F,18,4055.12,Low,Semi-Urban,65545.47,328.17,2,799.09,0,Inactive,1
38392.58,F,26,2228.09,Low,Semi-Urban,47990.72,437.79,4,777.06,0,Inactive,1
99798.54,F,18,NA,Low,Urban,153536.22,468.84,2,663.51,0,NA,1
25695.4,M,21,1005.86,Low,Semi-Urban,39531.39,301.13,2,650.71,0,Inactive,1
97798.51,M,32,2137.56,Low,Rural,122248.14,480.06,1,770.8,0,Unpossessed,1
41373.18,F,20,2786.78,Low,Semi-Urban,63651.05,283.7,1,660.89,0,Active,1
75308.94,M,63,1894.64,Low,Semi-Urban,115859.9,350.66,1,703.43,0,Active,1
25883.22,M,39,1458.31,Low,Rural,36976.03,187.12,4,652.49,0,Active,1
46164.92,F,60,1394.48,Low,Semi-Urban,61553.23,372.17,2,773.57,0,Unpossessed,1
68381.63,M,62,2609.82,Low,Semi-Urban,97688.05,393.32,NA,831.86,0,Inactive,1
190850.95,F,25,3159.74,Low,Semi-Urban,272644.21,1351.98,3,654.3,0,Inactive,1
195165.04,F,18,2322.87,NA,Semi-Urban,260220.06,-999,1,812.98,0,NA,1
